ax1,ay1,az1,gx1,gy1,gz1,mx1,my1,mz1,ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2
-0.00,0.00,1.00,-0.09,0.07,0.07,35.86,9.30,-59.73,0.00,-0.00,1.00,-0.18,0.11,0.11,85.80,25.13,-29.05
0.00,0.00,1.00,-0.05,0.04,0.05,35.86,9.30,-59.73,0.00,-0.00,1.00,-0.18,0.05,0.02,85.80,25.13,-29.05
0.00,0.00,1.00,-0.13,0.04,-0.02,35.86,9.30,-59.73,0.00,-0.00,1.00,-0.09,0.08,0.13,79.52,1.75,-33.61
0.00,0.00,1.00,-0.06,0.04,0.09,35.86,9.30,-59.73,0.00,-0.00,1.00,-0.10,0.05,0.08,79.52,1.75,-33.61
-0.00,-0.00,1.00,-0.02,0.16,0.01,38.37,19.36,-46.76,0.00,-0.00,1.00,-0.16,0.05,-0.02,79.52,1.75,-33.61
0.00,0.00,1.00,-0.07,0.03,0.03,38.37,19.36,-46.76,0.00,-0.00,1.00,-0.06,0.14,0.03,94.16,14.34,-26.00
-0.00,0.00,1.00,-0.04,0.08,0.05,38.37,19.36,-46.76,0.00,-0.00,1.00,-0.14,0.01,0.11,94.16,14.34,-26.00
-0.00,0.00,1.00,-0.04,0.09,0.02,42.14,21.03,-62.97,-0.00,-0.00,1.00,-0.08,0.08,-0.06,94.16,14.34,-26.00
0.00,0.00,1.00,-0.08,0.06,0.14,42.14,21.03,-62.97,0.00,-0.00,1.00,-0.14,0.02,0.00,83.71,5.35,-30.57
-0.00,0.00,1.00,-0.02,0.11,0.12,42.14,21.03,-62.97,0.00,-0.00,1.00,-0.11,0.05,-0.01,83.71,5.35,-30.57
-0.00,0.00,1.00,-0.05,0.02,0.02,35.86,22.71,-72.70,-0.00,-0.00,1.00,-0.02,0.06,0.02,83.71,5.35,-30.57
-0.00,0.00,1.00,-0.07,0.10,0.05,35.86,22.71,-72.70,0.00,0.00,1.00,-0.10,0.05,0.02,92.07,12.54,-36.66
-0.00,0.00,1.00,-0.05,0.06,0.04,35.86,22.71,-72.70,-0.00,-0.00,1.00,-0.14,0.11,-0.03,92.07,12.54,-36.66
0.00,0.00,1.00,-0.06,0.07,0.09,30.83,9.30,-66.21,0.00,-0.00,1.00,-0.08,-0.01,0.04,92.07,12.54,-36.66
-0.00,0.00,1.00,-0.02,0.05,0.05,30.83,9.30,-66.21,-0.00,-0.00,1.00,-0.15,0.12,-0.04,92.07,12.54,-36.66
-0.00,-0.00,1.00,-0.05,0.14,0.03,30.83,9.30,-66.21,-0.00,0.00,1.00,-0.02,0.00,-0.05,75.34,12.54,-36.66
-0.00,0.00,1.00,-0.08,0.02,0.01,29.57,10.97,-56.49,0.00,-0.00,1.00,-0.10,0.11,-0.02,75.34,12.54,-36.66
-0.00,0.00,1.00,-0.04,0.10,0.03,29.57,10.97,-56.49,-0.00,-0.00,1.00,-0.13,0.08,0.04,75.34,12.54,-36.66
0.00,0.00,1.00,-0.11,0.12,-0.01,29.57,10.97,-56.49,0.00,-0.00,1.00,-0.11,0.02,0.07,71.16,16.14,-21.44
-0.00,-0.00,1.00,-0.09,0.04,0.07,29.57,10.97,-56.49,0.00,-0.00,1.00,-0.08,0.18,0.04,71.16,16.14,-21.44
0.00,0.00,1.00,-0.05,0.10,0.04,38.37,22.71,-59.73,0.00,-0.00,1.00,-0.08,0.05,0.02,71.16,16.14,-21.44
0.00,0.00,1.00,-0.06,0.08,0.00,38.37,22.71,-59.73,0.00,-0.00,1.00,-0.05,-0.05,0.05,83.71,16.14,-27.53
-0.00,0.00,1.00,-0.09,0.08,0.08,38.37,22.71,-59.73,-0.00,-0.00,1.00,-0.18,0.05,0.05,83.71,16.14,-27.53
0.00,0.00,1.00,-0.11,0.19,0.00,33.34,19.36,-46.76,-0.00,-0.00,1.00,-0.15,0.02,0.03,83.71,16.14,-27.53
-0.00,0.00,1.00,-0.14,0.04,0.05,33.34,19.36,-46.76,-0.00,-0.00,1.00,-0.08,0.06,0.05,94.16,14.34,-32.09
0.00,0.00,1.00,-0.08,0.05,-0.02,33.34,19.36,-46.76,0.00,-0.00,1.00,-0.13,0.04,-0.02,94.16,14.34,-32.09
-0.00,0.00,1.00,-0.08,0.16,0.11,37.11,24.38,-62.97,-0.00,-0.00,1.00,-0.13,0.03,-0.02,94.16,14.34,-32.09
-0.00,0.00,0.99,0.02,0.05,0.02,37.11,24.38,-62.97,0.00,-0.00,1.00,0.02,0.13,0.09,71.16,1.75,-18.39
0.00,0.00,1.00,0.00,0.07,0.10,37.11,24.38,-62.97,-0.00,-0.00,1.00,-0.11,0.00,0.02,71.16,1.75,-18.39
-0.00,0.00,1.00,-0.08,0.01,0.08,35.86,19.36,-53.25,0.00,-0.00,1.00,-0.24,0.08,0.08,71.16,1.75,-18.39
0.00,0.00,1.00,-0.01,0.06,0.05,35.86,19.36,-53.25,0.00,-0.00,1.00,-0.06,0.05,0.06,71.16,1.75,-18.39
-0.00,0.00,1.00,-0.05,0.05,-0.06,35.86,19.36,-53.25,0.00,0.00,1.00,-0.26,0.08,0.05,98.34,14.34,-26.00
0.00,0.00,1.00,0.02,0.07,0.08,38.37,12.65,-40.28,0.00,-0.00,1.00,-0.09,0.11,-0.03,98.34,14.34,-26.00
-0.00,0.00,1.00,-0.14,0.10,0.06,38.37,12.65,-40.28,0.00,0.00,1.00,-0.24,0.11,-0.05,98.34,14.34,-26.00
-0.00,0.00,0.99,-0.04,-0.02,0.05,38.37,12.65,-40.28,0.00,0.00,1.00,-0.08,-0.05,-0.01,79.52,16.14,-42.75
-0.00,-0.00,1.00,-0.05,0.14,0.04,34.60,21.03,-56.49,-0.00,-0.00,1.00,-0.16,0.11,0.07,79.52,16.14,-42.75
0.00,0.00,1.00,-0.08,0.09,-0.01,34.60,21.03,-56.49,0.00,0.00,1.00,-0.17,-0.02,0.00,79.52,16.14,-42.75
0.00,0.00,1.00,-0.13,0.09,0.05,34.60,21.03,-56.49,0.00,-0.00,1.00,-0.09,0.02,0.05,85.80,14.34,-35.14
-0.00,0.00,1.00,-0.04,0.05,0.02,34.60,21.03,-56.49,0.00,-0.00,1.00,-0.11,0.02,0.05,85.80,14.34,-35.14
-0.00,0.00,1.00,0.10,0.08,0.05,34.60,21.03,-69.45,0.00,-0.00,1.00,-0.11,0.09,0.03,85.80,14.34,-35.14
-0.00,0.00,1.00,0.03,0.05,-0.05,34.60,21.03,-69.45,0.00,0.00,1.00,-0.04,0.06,0.08,85.80,25.13,-26.00
0.00,0.00,1.00,-0.08,0.02,0.06,34.60,21.03,-69.45,0.00,-0.00,1.00,-0.18,0.02,0.02,85.80,25.13,-26.00
-0.00,0.00,1.00,0.02,0.07,0.02,34.60,10.97,-69.45,0.00,-0.00,1.00,-0.14,0.08,0.02,85.80,25.13,-26.00
0.00,0.00,1.00,0.04,0.09,0.12,34.60,10.97,-69.45,0.00,0.00,1.00,-0.10,0.07,-0.07,71.16,12.54,-18.39
-0.00,0.00,1.00,-0.06,0.11,0.05,34.60,10.97,-69.45,0.00,0.00,1.00,-0.18,0.03,0.06,71.16,12.54,-18.39
0.00,0.00,1.00,-0.11,0.14,0.00,29.57,24.38,-37.04,0.00,-0.00,1.00,-0.18,0.21,0.08,71.16,12.54,-18.39
-0.00,0.00,1.00,-0.05,0.05,0.01,29.57,24.38,-37.04,0.00,0.00,1.00,-0.08,0.02,0.03,71.16,12.54,-18.39
0.00,-0.00,1.00,-0.05,0.11,-0.02,29.57,24.38,-37.04,-0.00,0.00,1.00,-0.18,0.21,0.02,100.43,5.35,-33.61
-0.00,0.00,1.00,0.05,0.06,-0.09,34.60,21.03,-82.42,0.00,-0.00,1.00,-0.03,0.05,0.03,100.43,5.35,-33.61
-0.00,0.00,1.00,-0.14,0.15,-0.02,34.60,21.03,-82.42,-0.00,0.00,1.00,-0.14,0.04,0.02,100.43,5.35,-33.61
-0.00,0.00,1.00,-0.13,0.00,0.02,34.60,21.03,-82.42,0.00,-0.00,1.00,-0.11,0.03,0.05,85.80,17.93,-29.05
-0.00,0.00,1.00,-0.07,0.05,0.02,34.60,21.03,-82.42,0.00,-0.00,1.00,-0.14,0.05,0.02,85.80,17.93,-29.05
0.00,0.00,1.00,-0.07,0.08,-0.03,34.60,24.38,-62.97,0.00,-0.00,1.00,-0.09,0.03,0.08,85.80,17.93,-29.05
0.00,0.00,1.00,-0.06,0.03,0.04,34.60,24.38,-62.97,0.00,-0.00,1.00,-0.13,0.10,0.07,87.89,23.33,-27.53
0.00,0.00,1.00,-0.10,0.00,0.05,34.60,24.38,-62.97,0.00,0.00,1.00,-0.12,0.09,-0.05,87.89,23.33,-27.53
0.00,0.00,1.00,-0.13,-0.01,-0.02,28.31,29.41,-53.25,-0.00,-0.00,1.00,-0.14,0.15,-0.02,87.89,23.33,-27.53
-0.00,0.00,1.00,-0.11,0.02,0.05,28.31,29.41,-53.25,0.00,-0.00,1.00,-0.03,0.00,0.11,83.71,16.14,-33.61
0.00,0.00,1.00,-0.08,0.08,0.08,28.31,29.41,-53.25,0.00,-0.00,1.00,-0.12,0.04,0.11,83.71,16.14,-33.61
-0.00,-0.00,1.00,-0.06,0.08,0.05,40.89,22.71,-66.21,0.00,-0.00,1.00,-0.10,0.02,-0.02,83.71,16.14,-33.61
0.00,0.00,1.00,-0.02,0.08,-0.04,40.89,22.71,-66.21,0.00,-0.00,1.00,-0.24,-0.01,0.05,83.71,16.14,-33.61
0.00,0.00,1.00,-0.10,0.08,0.05,40.89,22.71,-66.21,0.00,-0.00,1.00,-0.04,0.08,0.06,83.71,-1.84,-33.61
-0.00,0.00,1.00,0.05,0.03,0.02,33.34,32.76,-72.70,0.00,-0.00,1.00,-0.14,-0.05,0.02,83.71,-1.84,-33.61
-0.00,0.00,1.00,-0.02,0.05,0.06,33.34,32.76,-72.70,0.00,-0.00,1.00,-0.17,0.05,0.01,83.71,-1.84,-33.61
0.00,0.00,1.00,-0.08,0.06,0.01,33.34,32.76,-72.70,0.00,-0.00,1.00,-0.17,0.07,0.06,71.16,5.35,-36.66
0.00,0.00,1.00,-0.08,0.09,0.09,33.34,19.36,-53.25,-0.00,-0.00,1.00,-0.12,0.08,0.05,71.16,5.35,-36.66
0.00,0.00,1.00,-0.11,0.03,0.02,33.34,19.36,-53.25,-0.00,-0.00,1.00,-0.13,0.05,0.01,71.16,5.35,-36.66
-0.00,0.00,1.00,-0.05,0.04,-0.07,33.34,19.36,-53.25,0.00,0.00,1.00,-0.09,0.03,0.05,75.34,12.54,-27.53
-0.00,0.00,0.99,-0.12,0.15,-0.03,33.34,19.36,-53.25,-0.00,-0.00,1.00,-0.13,0.03,0.05,75.34,12.54,-27.53
0.00,0.00,1.00,0.05,-0.03,-0.03,35.86,9.30,-59.73,-0.00,-0.00,1.00,-0.15,0.11,0.08,75.34,12.54,-27.53
0.00,0.00,1.00,-0.10,0.09,-0.02,35.86,9.30,-59.73,0.00,-0.00,1.00,-0.14,0.02,0.03,98.34,14.34,-26.00
-0.00,0.00,1.00,-0.05,0.04,0.04,35.86,9.30,-59.73,0.00,-0.00,1.00,-0.17,0.00,-0.06,98.34,14.34,-26.00
0.00,0.00,1.00,-0.10,0.03,-0.02,34.60,21.03,-56.49,0.00,-0.00,1.00,-0.07,-0.04,0.01,98.34,14.34,-26.00
0.00,-0.00,1.00,-0.02,0.05,0.03,34.60,21.03,-56.49,0.00,0.00,1.00,-0.09,0.05,-0.07,87.89,23.33,-36.66
0.00,0.00,1.00,-0.08,0.07,-0.03,34.60,21.03,-56.49,0.00,-0.00,1.00,-0.14,0.11,0.07,87.89,23.33,-36.66
-0.00,0.00,1.00,0.07,-0.05,0.07,42.14,24.38,-56.49,0.00,-0.00,1.00,-0.03,0.07,0.00,87.89,23.33,-36.66
-0.00,0.00,1.00,-0.05,0.08,0.08,42.14,24.38,-56.49,0.00,0.00,1.00,-0.05,0.12,0.01,87.89,23.33,-36.66
0.00,0.00,1.00,-0.05,0.16,-0.01,42.14,24.38,-56.49,0.00,-0.00,1.00,-0.24,0.11,0.05,83.71,19.73,-30.57
0.00,0.00,1.00,-0.05,0.13,0.05,27.06,14.33,-88.90,-0.00,-0.00,1.00,-0.10,0.02,0.10,83.71,19.73,-30.57
-0.00,0.00,1.00,-0.08,0.07,0.04,27.06,14.33,-88.90,0.00,-0.00,1.00,-0.17,0.05,-0.04,83.71,19.73,-30.57
0.00,0.00,1.00,-0.05,0.08,-0.05,27.06,14.33,-88.90,0.00,-0.00,1.00,-0.19,0.03,-0.06,92.07,8.94,-18.39
-0.00,0.00,1.00,-0.06,0.05,0.03,27.06,14.33,-88.90,-0.00,-0.00,1.00,-0.16,-0.01,0.05,92.07,8.94,-18.39
-0.00,-0.00,1.00,-0.07,0.11,-0.02,35.86,32.76,-53.25,0.00,0.00,1.00,-0.14,0.00,0.04,92.07,8.94,-18.39
0.00,0.00,1.00,-0.08,0.08,0.09,35.86,32.76,-53.25,0.00,-0.00,1.00,-0.20,0.07,0.04,77.43,7.15,-35.14
0.00,0.00,1.00,-0.08,0.12,0.08,35.86,32.76,-53.25,0.00,-0.00,1.00,-0.08,0.01,0.03,77.43,7.15,-35.14
-0.00,0.00,1.00,-0.04,0.01,0.07,35.86,2.59,-53.25,0.00,-0.00,1.00,-0.18,0.00,0.03,77.43,7.15,-35.14
-0.00,0.00,1.00,-0.07,0.11,-0.02,35.86,2.59,-53.25,0.00,-0.00,1.00,-0.17,0.08,0.03,89.98,14.34,-29.05
-0.00,0.00,1.00,-0.02,0.05,-0.02,35.86,2.59,-53.25,0.00,-0.00,1.00,-0.15,0.11,0.06,89.98,14.34,-29.05
-0.00,0.00,1.00,-0.18,-0.04,-0.02,42.14,21.03,-50.01,-0.00,-0.00,1.00,-0.17,0.08,0.05,89.98,14.34,-29.05
0.00,0.00,1.00,-0.08,0.09,0.05,42.14,21.03,-50.01,0.00,-0.00,1.00,-0.12,-0.02,0.05,89.98,14.34,-29.05
0.00,0.00,1.00,-0.08,0.11,-0.01,42.14,21.03,-50.01,0.00,-0.00,1.00,-0.08,0.05,0.01,89.98,7.15,-26.00
-0.00,0.00,1.00,-0.02,0.12,0.06,40.89,22.71,-59.73,0.00,-0.00,1.00,-0.18,0.00,0.02,89.98,7.15,-26.00
-0.00,0.00,1.00,-0.02,0.09,0.02,40.89,22.71,-59.73,0.00,-0.00,1.00,-0.10,-0.03,0.05,89.98,7.15,-26.00
-0.00,0.00,1.00,0.00,0.02,-0.11,40.89,22.71,-59.73,-0.00,-0.00,1.00,-0.07,0.14,-0.02,81.62,-0.05,-29.05
0.00,0.00,1.00,-0.01,-0.01,0.07,40.89,22.71,-59.73,-0.00,-0.00,1.00,-0.01,-0.06,-0.02,81.62,-0.05,-29.05
-0.00,0.00,1.00,0.05,0.01,0.02,39.63,17.68,-50.01,0.00,0.00,1.00,-0.03,-0.12,-0.01,81.62,-0.05,-29.05
-0.00,0.00,1.00,0.25,-0.18,0.02,39.63,17.68,-50.01,-0.00,-0.00,1.01,0.53,-0.46,0.07,73.25,25.13,-19.92
0.00,-0.00,1.00,0.80,-0.54,0.14,39.63,17.68,-50.01,0.01,-0.00,0.99,0.56,-0.47,0.11,73.25,25.13,-19.92
0.01,0.00,0.99,0.30,-0.18,0.09,33.34,5.95,-40.28,0.00,0.00,1.00,-0.10,0.02,0.07,73.25,25.13,-19.92
-0.00,0.00,1.00,-0.08,0.05,0.02,33.34,5.95,-40.28,-0.00,0.00,1.00,-0.07,0.07,0.07,79.52,23.33,-36.66
0.00,0.00,1.00,-0.02,0.07,0.11,33.34,5.95,-40.28,0.00,-0.00,1.00,-0.19,0.02,0.08,79.52,23.33,-36.66
0.00,0.00,1.00,-0.05,0.05,-0.05,29.57,24.38,-50.01,0.00,-0.00,1.00,-0.14,0.07,-0.01,79.52,23.33,-36.66
0.00,0.00,1.00,-0.11,0.10,0.06,29.57,24.38,-50.01,0.00,0.00,1.00,-0.04,-0.01,0.06,89.98,17.93,-26.00
0.00,0.01,1.00,-0.05,0.14,0.06,29.57,24.38,-50.01,0.00,0.00,1.00,0.00,0.02,0.04,89.98,17.93,-26.00
0.00,0.00,1.00,-0.09,0.10,0.02,30.83,19.36,-46.76,0.00,0.00,1.00,-0.05,0.05,-0.03,89.98,17.93,-26.00
-0.00,0.00,1.00,-0.07,0.02,0.08,30.83,19.36,-46.76,0.00,-0.00,1.00,-0.19,0.10,0.10,89.98,17.93,-26.00
-0.00,0.00,1.00,0.01,-0.02,0.02,30.83,19.36,-46.76,0.00,-0.00,1.00,0.01,0.05,0.02,106.71,14.34,-26.00
0.00,0.00,1.00,-0.05,-0.02,0.08,37.11,7.62,-43.52,0.00,-0.00,1.00,-0.05,0.02,-0.02,106.71,14.34,-26.00
0.00,0.00,1.00,-0.08,0.05,0.09,37.11,7.62,-43.52,-0.00,0.00,1.00,-0.10,0.13,0.10,106.71,14.34,-26.00
0.00,0.00,1.00,0.00,0.07,0.07,37.11,7.62,-43.52,0.00,-0.00,1.00,-0.10,0.02,0.08,77.43,28.72,-19.92
-0.00,0.00,1.00,-0.02,0.14,-0.08,37.11,7.62,-43.52,0.00,-0.00,1.00,0.03,-0.03,-0.05,77.43,28.72,-19.92
0.00,0.00,1.00,-0.02,0.03,0.04,32.09,10.97,-43.52,0.00,-0.00,1.00,-0.02,0.08,-0.08,77.43,28.72,-19.92
0.00,0.00,1.00,-0.04,-0.02,-0.02,32.09,10.97,-43.52,0.00,0.00,1.01,0.09,0.02,-0.05,87.89,16.14,-30.57
0.00,0.00,1.00,0.13,-0.01,0.04,32.09,10.97,-43.52,0.00,0.00,1.00,0.12,0.08,0.01,87.89,16.14,-30.57
0.00,0.00,1.00,0.14,0.02,0.00,27.06,34.44,-62.97,0.00,0.00,1.00,-0.02,-0.02,0.07,87.89,16.14,-30.57
-0.00,0.00,1.00,-0.04,0.02,0.04,27.06,34.44,-62.97,0.00,0.00,1.00,-0.16,0.02,0.07,71.16,16.14,-21.44
-0.00,0.01,1.00,-0.05,0.05,0.05,27.06,34.44,-62.97,0.00,-0.00,1.00,-0.22,-0.05,0.07,71.16,16.14,-21.44
-0.00,0.00,1.00,-0.02,0.02,-0.02,48.43,12.65,-27.32,0.00,0.00,1.00,-0.10,0.09,-0.02,71.16,16.14,-21.44
0.00,0.00,1.00,-0.09,0.05,0.15,48.43,12.65,-27.32,0.00,-0.00,1.00,-0.05,-0.03,0.03,71.16,16.14,-21.44
0.00,0.01,1.00,-0.02,0.05,0.07,48.43,12.65,-27.32,0.00,0.00,1.00,-0.12,0.01,0.10,108.80,8.94,-18.39
0.00,0.00,1.00,-0.03,0.08,-0.01,35.86,36.12,-46.76,0.00,0.00,1.00,-0.09,0.05,0.07,108.80,8.94,-18.39
0.00,0.00,1.00,-0.10,0.01,-0.04,35.86,36.12,-46.76,0.00,-0.00,1.00,-0.18,0.05,0.02,108.80,8.94,-18.39
0.00,0.00,1.00,-0.05,0.12,0.13,35.86,36.12,-46.76,0.00,0.00,1.00,-0.16,0.11,-0.01,81.62,10.74,-26.00
0.00,0.00,1.00,0.00,0.05,-0.05,35.86,36.12,-46.76,0.00,0.00,1.00,-0.21,-0.05,0.04,81.62,10.74,-26.00
-0.00,0.00,1.00,-0.05,0.02,-0.01,32.09,7.62,-50.01,0.00,0.00,1.00,-0.18,0.01,0.07,81.62,10.74,-26.00
0.00,0.00,1.00,-0.05,0.11,0.05,32.09,7.62,-50.01,0.00,0.00,1.00,-0.08,0.04,0.04,75.34,19.73,-30.57
0.00,0.00,1.00,-0.11,0.11,0.11,32.09,7.62,-50.01,0.00,0.00,1.00,-0.21,0.03,0.08,75.34,19.73,-30.57
-0.00,0.01,1.00,0.02,0.11,0.05,33.34,26.06,-46.76,0.00,-0.00,1.00,-0.05,0.06,0.07,75.34,19.73,-30.57
-0.00,0.00,1.00,-0.02,0.04,0.02,33.34,26.06,-46.76,0.00,0.00,1.00,-0.13,0.03,0.01,96.25,12.54,-30.57
0.00,0.01,1.00,-0.05,0.04,-0.02,42.14,17.68,-75.94,0.00,-0.00,1.00,-0.18,0.06,-0.08,87.89,8.94,-33.61
0.00,0.00,1.00,-0.04,0.12,0.01,42.14,17.68,-75.94,0.00,-0.00,1.00,-0.04,0.06,-0.05,87.89,8.94,-33.61
0.00,0.01,1.00,0.00,0.02,0.01,42.14,17.68,-75.94,0.00,0.00,1.00,-0.10,0.00,0.07,87.89,8.94,-33.61
0.00,0.00,1.00,-0.05,0.08,0.07,42.14,17.68,-75.94,0.00,0.00,1.00,-0.10,0.02,0.02,89.98,7.15,-26.00
0.00,0.00,1.00,-0.14,0.06,-0.02,30.83,19.36,-33.80,0.00,0.00,1.00,-0.08,0.06,0.03,89.98,7.15,-26.00
0.00,0.00,1.00,-0.08,0.09,0.07,38.37,19.36,-59.73,0.00,0.00,1.00,-0.09,-0.02,0.07,104.62,12.54,-39.70
0.00,0.01,1.00,-0.07,-0.02,0.01,38.37,19.36,-59.73,-0.00,0.00,1.00,-0.18,-0.05,0.06,81.62,7.15,-32.09
0.00,0.00,1.00,0.03,0.10,0.05,38.37,19.36,-59.73,0.00,0.00,1.00,-0.07,0.11,0.08,81.62,7.15,-32.09
0.00,0.00,1.00,0.02,0.12,0.01,40.89,22.71,-53.25,0.00,0.00,1.00,-0.06,0.11,0.05,81.62,7.15,-32.09
0.00,0.00,1.00,-0.10,0.05,0.05,40.89,22.71,-53.25,0.00,0.00,1.00,-0.21,0.02,-0.02,83.71,8.94,-24.48
0.00,0.00,1.00,-0.04,0.04,0.08,32.09,7.62,-62.97,0.00,0.00,1.00,-0.05,0.02,0.02,83.71,8.94,-24.48
-0.00,0.00,1.00,-0.11,-0.01,0.05,37.11,31.09,-37.04,0.00,-0.00,1.00,-0.11,0.16,-0.06,83.71,8.94,-24.48
0.00,0.00,1.00,-0.07,0.05,0.03,37.11,31.09,-37.04,0.00,0.00,1.00,-0.05,0.05,0.09,83.71,8.94,-24.48
0.00,0.00,1.00,-0.14,0.09,-0.01,37.11,31.09,-37.04,0.00,0.00,1.00,-0.13,0.01,0.03,98.34,14.34,-29.05
0.00,0.00,1.00,-0.04,0.12,-0.05,23.29,29.41,-59.73,0.00,-0.00,1.00,-0.10,0.14,0.09,98.34,3.55,-32.09
0.00,0.01,1.00,-0.05,0.12,0.03,35.86,26.06,-20.83,0.00,0.00,1.00,-0.08,0.08,-0.03,98.34,3.55,-32.09
0.00,0.00,1.00,-0.09,0.00,-0.01,35.86,26.06,-20.83,0.00,0.00,1.00,-0.14,0.03,-0.03,98.34,3.55,-32.09
-0.00,0.00,1.00,-0.06,0.02,-0.02,35.86,26.06,-20.83,0.00,0.00,1.00,-0.15,0.04,0.11,94.16,32.32,-35.14
-0.00,0.00,1.00,-0.10,0.10,-0.08,27.06,24.38,-43.52,0.00,-0.00,1.00,-0.13,0.08,0.09,85.80,14.34,-35.14
-0.00,0.00,1.00,-0.03,0.05,-0.01,42.14,21.03,-37.04,-0.00,0.00,1.00,0.00,0.19,0.04,85.80,14.34,-35.14
0.00,0.01,1.00,0.05,0.17,-0.01,42.14,21.03,-37.04,0.00,0.00,1.00,-0.17,0.02,0.10,98.34,7.15,-32.09
0.00,0.00,1.00,-0.08,0.07,-0.02,42.14,21.03,-37.04,0.00,0.00,1.00,-0.01,0.11,-0.02,98.34,7.15,-32.09
0.00,0.00,1.00,0.05,0.15,0.03,40.89,16.00,-40.28,0.00,0.00,1.00,-0.10,0.17,0.00,98.34,7.15,-32.09
